,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
34,,,1614三洋電,2845遠東銀,,,,2006東和鋼鐵,5904寶雅
35,,,6284佳邦,3189景碩,,,,3189景碩,2352佳世達
36,,,,3706神達,,,,3036文曄,1802台玻
37,,,,2903遠百,,,,2606裕民,2383台光電
38,,,,3665貿聯-KY,,,,2059川湖,3023信邦
39,,,,2439美律,,,,2504國產,2376技嘉
40,,,,2059川湖,,,,2634漢翔,5820日盛金
41,,,,2504國產,,,,1723中碳,1717長興
42,,,,2634漢翔,,,,3081聯亞,3529力旺
43,,,,1503士電,,,,8150南茂,6147頎邦
44,,,,1440南紡,,,,2498宏達電,2809京城銀
45,,,,6561是方,,,,2104國際中橡,1907永豐餘
46,,,,8150南茂,,,,2548華固,2015豐興
47,,,,2392正崴,,,,2014中鴻,2201裕隆
48,,,,9958世紀鋼,,,,5306桂盟,2458義隆
49,,,,2855統一證,,,,2867三商壽,6116彩晶
50,,,,6214精誠,,,,6196帆宣,1210大成
51,,,,5469瀚宇博,,,,2455全新,9917中保科
52,,,,5306桂盟,,,,2103台橡,2006東和鋼鐵
53,,,,6182合晶,,,,3218大學光,5264鎧勝-KY
54,,,,1312國喬,,,,6230超眾,6278台表科
55,,,,1232大統益,,,,2637慧洋-KY,3706神達
56,,,,2373震旦行,,,,3703欣陸,1904正隆
57,,,,2455全新,,,,3260威剛,2903遠百
58,,,,5388中磊,,,,8131福懋科,3152璟德
59,,,,1773勝一,,,,1444力麗,2838聯邦銀
60,,,,2103台橡,,,,2239英利-KY,6271同欣電
61,,,,3026禾伸堂,,,,9930中聯資源,3665貿聯-KY
62,,,,8422可寧衛,,,,9911櫻花,2441超豐
63,,,,4961天鈺,,,,2034允強,2439美律
64,,,,2393億光,,,,2836高雄銀,2108南帝
65,,,,4157太景*-KY,,,,4532瑞智,2059川湖
66,,,,1104環泥,,,,2727王品,2504國產
67,,,,2913農林,,,,1614三洋電,2206三陽工業
68,,,,8406金可-KY,,,,2534宏盛,1909榮成
69,,,,1218泰山,,,,2535達欣工,6446藥華藥
70,,,,1234黑松,,,,,1503士電
71,,,,2851中再保,,,,,1507永大
72,,,,3691碩禾,,,,,2023燁輝
73,,,,1309台達化,,,,,6561是方
74,,,,2850新產,,,,,2855統一證
75,,,,1609大亞,,,,,4968立積
76,,,,8213志超,,,,,6214精誠
77,,,,2239英利-KY,,,,,6414樺漢
78,,,,1726永記,,,,,6146耕興
79,,,,9911櫻花,,,,,5469瀚宇博
80,,,,6279胡連,,,,,2501國建
81,,,,4532瑞智,,,,,5306桂盟
82,,,,3530晶相光,,,,,1808潤隆
83,,,,2417圓剛,,,,,6182合晶
84,,,,6120達運,,,,,9940信義
85,,,,2009第一銅,,,,,6196帆宣
86,,,,2010春源,,,,,1232大統益
87,,,,4306炎洲,,,,,2373震旦行
88,,,,5287數字,,,,,3016嘉晶
89,,,,2535達欣工,,,,,6548長科*
90,,,,,,,,,2428興勤
91,,,,,,,,,6491晶碩
92,,,,,,,,,2820華票
93,,,,,,,,,1795美時
94,,,,,,,,,2455全新
95,,,,,,,,,3596智易
96,,,,,,,,,5388中磊
97,,,,,,,,,1773勝一
98,,,,,,,,,8016矽創
99,,,,,,,,,3515華擎
100,,,,,,,,,3264欣銓
101,,,,,,,,,3218大學光
102,,,,,,,,,4551智伸科
103,,,,,,,,,2511太子
104,,,,,,,,,9907統一實
105,,,,,,,,,3026禾伸堂
106,,,,,,,,,2897王道銀行
107,,,,,,,,,3312弘憶股
108,,,,,,,,,8422可寧衛
109,,,,,,,,,4961天鈺
110,,,,,,,,,3703欣陸
111,,,,,,,,,2481強茂
112,,,,,,,,,3704合勤控
113,,,,,,,,,4157太景*-KY
114,,,,,,,,,6582申豐
115,,,,,,,,,3552同致
116,,,,,,,,,5425台半
117,,,,,,,,,2515中工
118,,,,,,,,,1103嘉泥
119,,,,,,,,,9925新保
120,,,,,,,,,2351順德
121,,,,,,,,,4536拓凱
122,,,,,,,,,3708上緯投控
123,,,,,,,,,2913農林
124,,,,,,,,,4919新唐
125,,,,,,,,,1218泰山
126,,,,,,,,,1515力山
127,,,,,,,,,1234黑松
128,,,,,,,,,2851中再保
129,,,,,,,,,8358金居
130,,,,,,,,,4927泰鼎-KY
131,,,,,,,,,1519華城
132,,,,,,,,,6191精成科
133,,,,,,,,,3691碩禾
134,,,,,,,,,3035智原
135,,,,,,,,,6533晶心科
136,,,,,,,,,3707漢磊
137,,,,,,,,,2850新產
138,,,,,,,,,8163達方
139,,,,,,,,,2031新光鋼
140,,,,,,,,,1609大亞
141,,,,,,,,,3228金麗科
142,,,,,,,,,1532勤美
143,,,,,,,,,1726永記
144,,,,,,,,,9911櫻花
145,,,,,,,,,2375凱美
146,,,,,,,,,3131弘塑
147,,,,,,,,,6173信昌電
148,,,,,,,,,8462柏文
149,,,,,,,,,6279胡連
150,,,,,,,,,3014聯陽
151,,,,,,,,,6188廣明
152,,,,,,,,,6472保瑞
153,,,,,,,,,4906正文
154,,,,,,,,,3078僑威
155,,,,,,,,,6643M31
156,,,,,,,,,4532瑞智
157,,,,,,,,,2401凌陽
158,,,,,,,,,5536聖暉
159,,,,,,,,,1604聲寶
160,,,,,,,,,1256鮮活果汁-KY
161,,,,,,,,,5243乙盛-KY
162,,,,,,,,,2489瑞軒
163,,,,,,,,,2727王品
164,,,,,,,,,3059華晶科
165,,,,,,,,,1614三洋電
166,,,,,,,,,2340光磊
167,,,,,,,,,6120達運
168,,,,,,,,,6284佳邦
169,,,,,,,,,2010春源
170,,,,,,,,,6411晶焱
171,,,,,,,,,5287數字
172,,,,,,,,,5508永信建
173,,,,,,,,,1589永冠-KY
174,,,,,,,,,2535達欣工
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
205,,,,,,,,,
206,,,,,,,,,
207,,,,,,,,,
