,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
39,,,,6196帆宣,2373震旦行,,,,2634漢翔,9958世紀鋼,,4576大銀微系統,,2481強茂,3006晶豪科,3702大聯大,2542興富發
40,,,,1232大統益,6547高端疫苗,,,,1909榮成,2104國際中橡,,4438廣越,,3260威剛,3703欣陸,6121新普,1227佳格
41,,,,2373震旦行,6492生華科,,,,2388威盛,9940信義,,3022威強電,,1515力山,2393億光,2385群光,2352佳世達
42,,,,2428興勤,2362藍天,,,,1440南紡,6196帆宣,,8942森鉅,,8358金居,5007三星,3044健鼎,1802台玻
43,,,,3596智易,3680家登,,,,2392正崴,1312國喬,,6120達運,,8112至上,1903士紙,2609陽明,2383台光電
44,,,,3218大學光,4766南寶,,,,9958世紀鋼,6257矽格,,4107邦特,,1308亞聚,2367燿華,1227佳格,2313華通
45,,,,3026禾伸堂,3264欣銓,,,,2104國際中橡,8016矽創,,1589永冠-KY,,3707漢磊,2908特力,2352佳世達,8069元太
46,,,,1710東聯,6743安普新,,,,2014中鴻,3264欣銓,,2535達欣工,,6244茂迪,1515力山,6176瑞儀,3023信邦
47,,,,4157太景*-KY,9908大台北,,,,5306桂盟,3218大學光,,,,8163達方,6191精成科,1802台玻,3533嘉澤
48,,,,4536拓凱,8422可寧衛,,,,5434崇越,3010華立,,,,2031新光鋼,1444力麗,2383台光電,2376技嘉
49,,,,2913農林,6756威鋒電子,,,,6196帆宣,3006晶豪科,,,,2375凱美,1308亞聚,2313華通,5820日盛金
50,,,,2908特力,3010華立,,,,1312國喬,3703欣陸,,,,1310台苯,6244茂迪,8069元太,3529力旺
51,,,,1218泰山,8131福懋科,,,,3019亞光,2481強茂,,,,2489瑞軒,8163達方,3023信邦,6592和潤企業
52,,,,1309台達化,4157太景*-KY,,,,1773勝一,2393億光,,,,2727王品,2031新光鋼,3533嘉澤,6269台郡
