,出現7次,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
53,,,,,3260威剛,4137麗豐-KY,,,1726永記,6257矽格,1565精華,,,,6284佳邦,9930中聯資源,2376技嘉,2458義隆
54,,,,,4157太景*-KY,5007三星,,,9930中聯資源,8016矽創,2351順德,,,,3090日電貿,9911櫻花,5820日盛金,6116彩晶
55,,,,,6582申豐,6023元大期,,,1201味全,3264欣銓,2331精英,,,,,2836高雄銀,6213聯茂,3661世芯-KY
56,,,,,1598岱宇,6803崑鼎,,,6188廣明,2905三商,8406金可-KY,,,,,4532瑞智,1717長興,2889國票金
57,,,,,5007三星,9925新保,,,8044網家,3218大學光,8358金居,,,,,3450聯鈞,3374精材,5264鎧勝-KY
58,,,,,2908特力,6464台數科,,,1110東泥,4961天鈺,6191精成科,,,,,2489瑞軒,6147頎邦,6278台表科
59,,,,,1702南僑,2035唐榮,,,3022威強電,3006晶豪科,3691碩禾,,,,,2727王品,1907永豐餘,3152璟德
60,,,,,2421建準,1702南僑,,,8942森鉅,3703欣陸,3035智原,,,,,6605帝寶,2449京元電子,2838聯邦銀
61,,,,,1218泰山,1218泰山,,,4306炎洲,1104環泥,1309台達化,,,,,1614三洋電,2812台中銀,6271同欣電
62,,,,,1234黑松,1234黑松,,,3090日電貿,1565精華,3707漢磊,,,,,2102泰豐,6592和潤企業,3665貿聯-KY
63,,,,,8112至上,2851中再保,,,,2913農林,6244茂迪,,,,,2534宏盛,6269台郡,3036文曄
64,,,,,1309台達化,1419新紡,,,,8406金可-KY,8163達方,,,,,8917欣泰,2201裕隆,6285啟碁
65,,,,,3211順達,1905華紙,,,,8081致新,8213志超,,,,,3049和鑫,2458義隆,6531愛普
66,,,,,6244茂迪,2850新產,,,,2208台船,6177達麗,,,,,3090日電貿,6116彩晶,2108南帝
67,,,,,2850新產,3228金麗科,,,,8358金居,3131弘塑,,,,,5508永信建,1210大成,2456奇力新
68,,,,,1609大亞,1537廣隆,,,,6191精成科,6173信昌電,,,,,,9917中保科,6005群益證
69,,,,,3228金麗科,6541泰福-KY,,,,3691碩禾,8462柏文,,,,,,2006東和鋼鐵,3005神基
70,,,,,9930中聯資源,8039台虹,,,,3035智原,2401凌陽,,,,,,2889國票金,1736喬山
71,,,,,2375凱美,3131弘塑,,,,2328廣宇,1604聲寶,,,,,,3189景碩,6412群電
72,,,,,6173信昌電,8482商億-KY,,,,1309台達化,8210勤誠,,,,,,5264鎧勝-KY,4174浩鼎
73,,,,,2836高雄銀,2836高雄銀,,,,3211順達,2727王品,,,,,,6278台表科,6446藥華藥
74,,,,,6643M31,6579研揚,,,,3707漢磊,3530晶相光,,,,,,3152璟德,8341日友
75,,,,,3450聯鈞,4167松瑞藥,,,,8163達方,6605帝寶,,,,,,9941裕融,1507永大
76,,,,,1110東泥,8908欣雄,,,,8213志超,2417圓剛,,,,,,6271同欣電,6561是方
77,,,,,3022威強電,5536聖暉,,,,5478智冠,6284佳邦,,,,,,3036文曄,2855統一證
78,,,,,8942森鉅,6589台康生技,,,,3228金麗科,5287數字,,,,,,2106建大,6414樺漢
79,,,,,8210勤誠,1110東泥,,,,6177達麗,,,,,,,2441超豐,6146耕興
80,,,,,2489瑞軒,6277宏正,,,,3131弘塑,,,,,,,2439美律,5469瀚宇博
81,,,,,2417圓剛,4506崇友,,,,6173信昌電,,,,,,,6285啟碁,2501國建
82,,,,,1589永冠-KY,8942森鉅,,,,8462柏文,,,,,,,6531愛普,1789神隆
83,,,,,,6751智聯服務,,,,2836高雄銀,,,,,,,2108南帝,1785光洋科
84,,,,,,1614三洋電,,,,1714和桐,,,,,,,2456奇力新,5306桂盟
85,,,,,,4107邦特,,,,2401凌陽,,,,,,,6005群益證,1808潤隆
86,,,,,,9943好樂迪,,,,1604聲寶,,,,,,,3005神基,9940信義
87,,,,,,8917欣泰,,,,4506崇友,,,,,,,1736喬山,6196帆宣
88,,,,,,2010春源,,,,8210勤誠,,,,,,,6412群電,1232大統益
89,,,,,,6576逸達,,,,2727王品,,,,,,,3227原相,3016嘉晶
90,,,,,,1307三芳,,,,3530晶相光,,,,,,,1909榮成,6548長科*
91,,,,,,5287數字,,,,1614三洋電,,,,,,,4174浩鼎,2428興勤
