,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-01-10),近12月累積營收年增率連2個月增加(2022-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
84,"('8422可寧衛', 7)",2395研華,2337旺宏,3450聯鈞,4966譜瑞-KY,2401凌陽,9908大台北,6670復盛應用,,,,,2347聯強,4966譜瑞-KY,6274台燿,,,,,,
85,"('8210勤誠', 7)",3443創意,2542興富發,8069元太,1905華紙,9939宏全,8422可寧衛,1319東陽,,,,,8070長華*,2836高雄銀,1477聚陽,,,,,,
86,"('8464億豐', 7)",3563牧德,3533嘉澤,5483中美晶,3552同致,6257矽格,2312金寶,5434崇越,,,,,3059華晶科,1905華紙,3231緯創,,,,,,
87,"('2347聯強', 7)",9921巨大,6561是方,2809京城銀,5904寶雅,5536聖暉,2707晶華,9938百和,,,,,2379瑞昱,2301光寶科,1710東聯,,,,,,
88,"('2059川湖', 7)",3010華立,2327國巨,2355敬鵬,2231為升,2597潤弘,3413京鼎,6182合晶,,,,,2006東和鋼鐵,3017奇鋐,3529力旺,,,,,,
89,"('2344華邦電', 7)",3533嘉澤,3035智原,1305華夏,6230超眾,5871中租-KY,4105東洋,4915致伸,,,,,2707晶華,2704國賓,5007三星,,,,,,
90,"('8917欣泰', 7)",1215卜蜂,5903全家,3530晶相光,2481強茂,8464億豐,8131福懋科,6196帆宣,,,,,6173信昌電,2481強茂,1315達新,,,,,,
91,"('5287數字', 7)",6561是方,2454聯發科,1201味全,1434福懋,8070長華*,1718中纖,2607榮運,,,,,4943康控-KY,3014聯陽,6191精成科,,,,,,
92,"('6274台燿', 7)",2327國巨,1590亞德客-KY,2015豐興,8044網家,1560中砂,9937全國,3019亞光,,,,,3045台灣大,2002中鋼,9925新保,,,,,,
93,"('2368金像電', 7)",5903全家,2373震旦行,1582信錦,5347世界,5471松翰,5457宣德,3016嘉晶,,,,,2884玉山金,2606裕民,2451創見,,,,,,
94,"('8131福懋科', 7)",1590亞德客-KY,5425台半,3152璟德,3023信邦,5306桂盟,5371中光電,6548長科*,,,,,4927泰鼎-KY,3264欣銓,2421建準,,,,,,
95,"('5871中租-KY', 6)",2373震旦行,8436大江,1232大統益,6510精測,3545敦泰,6282康舒,9802鈺齊-KY,,,,,2356英業達,6202盛群,2897王道銀行,,,,,,
96,"('5306桂盟', 6)",5425台半,8406金可-KY,6023元大期,1785光洋科,2379瑞昱,9925新保,2362藍天,,,,,3703欣陸,1904正隆,3030德律,,,,,,
97,"('6670復盛應用', 6)",8436大江,6464台數科,2412中華電,6533晶心科,2006東和鋼鐵,6464台數科,5388中磊,,,,,1589永冠-KY,2344華邦電,2417圓剛,,,,,,
98,"('2351順德', 6)",9937全國,4506崇友,2324仁寶,3081聯亞,2707晶華,2331精英,1773勝一,,,,,2059川湖,6120達運,2357華碩,,,,,,
99,"('8942森鉅', 6)",4506崇友,8415大國鋼,4438廣越,1507永大,6173信昌電,4536拓凱,8070長華*,,,,,2890永豐金,6505台塑化,8086宏捷科,,,,,,
100,"('3324雙鴻', 6)",6414樺漢,4966譜瑞-KY,1513中興電,8454富邦媒,8131福懋科,6504南六,8016矽創,,,,,1808潤隆,1101台泥,2888新光金,,,,,,
101,"('9911櫻花', 6)",6582申豐,5904寶雅,1714和桐,5274信驊,3045台灣大,3030德律,2103台橡,,,,,2383台光電,6177達麗,5269祥碩,,,,,,
102,"('3227原相', 6)",6213聯茂,2231為升,5388中磊,6182合晶,2303聯電,2421建準,3515華擎,,,,,1532勤美,2880華南金,2377微星,,,,,,
103,"('3152璟德', 6)",4966譜瑞-KY,6576逸達,2515中工,4906正文,2059川湖,1218泰山,1215卜蜂,,,,,2353宏碁,2912統一超,2376技嘉,,,,,,
104,"('2308台達電', 6)",6176瑞儀,2492華新科,2539櫻花建,1519華城,8046南電,1234黑松,4766南寶,,,,,4167松瑞藥,2637慧洋-KY,1229聯華,,,,,,
105,"('8341日友', 6)",2301光寶科,4551智伸科,1440南紡,3105穩懋,6415矽力-KY,4927泰鼎-KY,3673TPK-KY,,,,,4107邦特,2031新光鋼,3450聯鈞,,,,,,
106,"('2207和泰車', 6)",5904寶雅,1256鮮活果汁-KY,9917中保科,2912統一超,3008大立光,3035智原,9907統一實,,,,,8163達方,6285啟碁,1307三芳,,,,,,
107,"('2912統一超', 6)",6230超眾,3014聯陽,3090日電貿,2308台達電,2383台光電,2328廣宇,6443元晶,,,,,6472保瑞,1216統一,8069元太,,,,,,
108,"('3705永信', 6)",2492華新科,4736泰博,8150南茂,6411晶焱,6732昇佳電子,3211順達,2332友訊,,,,,2388威盛,2368金像電,5483中美晶,,,,,,
109,"('2360致茂', 6)",4551智伸科,6462神盾,2892第一金,6285啟碁,4107邦特,2545皇翔,6230超眾,,,,,6121新普,2312金寶,4306炎洲,,,,,,
110,"('1314中石化', 6)",1256鮮活果汁-KY,5347世界,1402遠東新,6488環球晶,2524京城,2605新興,2637慧洋-KY,,,,,1409新纖,2207和泰車,2809京城銀,,,,,,
111,"('1102亞泥', 6)",3014聯陽,3023信邦,4915致伸,3653健策,6472保瑞,6462神盾,3312弘憶股,,,,,2313華通,2027大成鋼,3630新鉅科,,,,,,
112,"('6533晶心科', 6)",9914美利達,2913農林,1110東泥,8341日友,8081致新,6177達麗,9908大台北,,,,,8081致新,,2355敬鵬,,,,,,
113,"('2382廣達', 6)",4736泰博,6279胡連,2382廣達,3189景碩,8422可寧衛,6541泰福-KY,8422可寧衛,,,,,5820日盛金,,1305華夏,,,,,,
114,"('3661世芯-KY', 6)",6456GIS-KY,2344華邦電,6180橘子,2207和泰車,3131弘塑,3131弘塑,3010華立,,,,,3131弘塑,,3702大聯大,,,,,,
115,"('6180橘子', 6)",1604聲寶,6510精測,5478智冠,,1565精華,8462柏文,2707晶華,,,,,3596智易,,3530晶相光,,,,,,
116,"('6504南六', 6)",5347世界,8404百和興業-KY,8917欣泰,,3022威強電,6579研揚,3413京鼎,,,,,1565精華,,1201味全,,,,,,
117,"('9925新保', 6)",2439美律,2923鼎固-KY,1308亞聚,,2458義隆,2704國賓,4105東洋,,,,,3022威強電,,9910豐泰,,,,,,
118,"('8255朋程', 6)",2385群光,6277宏正,4958臻鼎-KY,,1773勝一,6188廣明,9939宏全,,,,,2458義隆,,3217優群,,,,,,
119,"('1319東陽', 6)",2850新產,9940信義,3042晶技,,6409旭隼,4438廣越,2539櫻花建,,,,,4961天鈺,,2015豐興,,,,,,
120,"('6706惠特', 6)",3023信邦,6533晶心科,2607榮運,,4961天鈺,1582信錦,8131福懋科,,,,,2010春源,,1582信錦,,,,,,
121,"('2356英業達', 6)",3665貿聯-KY,3081聯亞,6504南六,,8016矽創,2547日勝生,1718中纖,,,,,3044健鼎,,3152璟德,,,,,,
122,"('2303聯電', 6)",6279胡連,1101台泥,1515力山,,3044健鼎,1714和桐,9937全國,,,,,1301台塑,,1232大統益,,,,,,
